UF;Telefonia;Internet;TV;CartaoCredito;Seguro;Banco;AparelhoCelular;Eletrodomestico;Moveis
RO;7,26;11,14;11,64;19,23;19,71;17,30;19,84;20,92;13,64
SC;7,29;10,04;10,14;18,54;18,17;14,39;16,66;24,32;23,09
RN;13,62;11,33;13,30;21,63;20,16;18,60;27,65;25,77;25,97
AL;9,18;8,00;14,55;15,01;15,11;13,30;18,67;28,85;22,95
RR;9,76;13,33;6,58;22,47;8,00;13,86;12,50;19,61;25,00
TO;9,55;12,89;16,15;25,15;18,26;20,36;22,53;22,07;18,75
GO;8,34;9,18;10,70;21,76;18,28;18,80;18,35;22,80;21,91
RJ;12,85;14,31;13,36;22,91;21,19;18,65;20,93;23,89;21,33
MA;12,98;12,48;13,25;17,81;13,48;11,07;17,62;24,09;22,41
PR;9,66;13,23;10,73;20,82;19,96;19,17;17,41;24,47;22,38
SE;15,74;13,93;13,78;22,64;18,66;19,81;22,78;22,76;23,33
CE;10,32;11,77;11,78;20,82;11,58;18,20;23,39;24,36;22,26
PB;12,41;7,25;10,75;17,85;8,86;18,82;23,26;22,37;17,16
PI;9,01;9,17;9,87;15,99;11,48;14,91;20,40;20,61;18,48
DF;11,69;11,40;13,47;23,90;20,91;23,32;23,78;27,40;24,32
AP;12,98;9,86;11,96;23,31;13,24;14,49;16,42;45,16;33,33
AC;7,61;10,31;14,56;17,56;17,73;15,22;11,11;30,21;10,53
RS;2,09;10,39;8,82;17,63;11,33;13,41;13,27;22,78;19,91
SP;10,26;9,23;10,93;22,22;21,49;17,77;20,91;23,57;21,31
PE;11,36;12,75;11,68;16,95;20,32;21,52;23,07;23,55;19,83
BA;11,11;13,08;12,77;22,91;19,40;20,64;23,89;23,19;21,29
ES;9,31;7,48;11,30;22,86;18,75;20,07;21,16;24,16;23,39
MG;8,54;10,28;11,85;21,46;18,74;18,13;21,16;24,07;21,85
MS;9,43;9,61;10,80;20,81;11,72;2,43;16,35;21,21;21,43
MT;7,91;9,19;9,70;16,76;16,67;14,48;17,18;22,58;14,86
PA;10,00;11,71;12,41;20,23;10,67;15,66;20,96;26,59;22,08
AM;9,69;10,73;11,64;18,89;13,62;12,08;15,57;23,49;21,67
